[CITA-AJENA] alma | with all your heart (con el alma) | No había señal ni un alma en la ruta. | <friends-argentina,friends-colombia>
[CITA-AJENA] bandeja | handed on a plate (servido en bandeja) | En la cocina del balneario, con la temporada muerta y el viento sur golpeando las persia | <friends-argentina,friends-colombia>
[CITA-AJENA] cielo | to protest loudly (pegar el grito al cielo) | “Acá en el sur nadie corre, che”, le tiró Bruno, y se frenó de nuevo a olfatear el aire  | <friends,friends-argentina,friends-mexico,friends-spain-a0,traveler-latam,traveler-mexico-a0>
[CITA-AJENA] cruzó | crossed fingers (cruzar los dedos) | Un cabeceo cruzó la ronda y un bailarín levantó apenas el mentón. | <friends,friends-argentina,friends-mexico>
[CITA-AJENA] dado | to go around (dar vueltas) | Cerca de la orilla apareció un kayakista dado vuelta entre las olas. | <friends,friends-argentina>
[CITA-AJENA] están | that is what they are for (para eso están) | (NO APARECE) | <friends-argentina,friends-colombia,friends-spain-a0,traveler-mexico-a0>
[CITA-AJENA] falta | without fail (sin falta) | (NO APARECE) | <friends-argentina,friends-mexico,traveler-latam,traveler-mexico-a0>
[CITA-AJENA] fuego | a trial by fire (prueba de fuego) | Ariel deja la guitarra apoyada, ceba un mate y, sin que nadie le pida nada, le baja el f | <friends-argentina,friends-colombia,friends-mexico,traveler-latam>
[CITA-AJENA] hondo | to breathe deep (respirar hondo) | Alguien suma un legüero, y el golpe hondo se mete en el pecho de todos. | <friends,friends-argentina,friends-colombia,friends-mexico,friends-spain-a0,traveler-latam,traveler-mexico-a0>
[CITA-AJENA] horno | in deep trouble (al horno) | “Estamos en el horno”, soltó Fabián. | <friends-argentina,friends-mexico>
[CITA-AJENA] lugar | instead of (en lugar de) | Micaela le hace un lugar y le pasa la espumadera para la próxima tanda. | <friends-argentina,friends-mexico,friends-spain-a0,traveler-latam,traveler-mexico-a0>
[CITA-AJENA] muerta | dead; starving (muerta de hambre) | En la cocina del balneario, con la temporada muerta y el viento sur golpeando las persia | <friends-argentina,friends-colombia,friends-mexico,traveler-latam,traveler-mexico-a0>
[CITA-AJENA] patas | to blunder badly (meter las patas) | Julieta, que de porteña tenía todo menos el tango en las patas, se sentó al lado de su a | <friends,friends-argentina,traveler-latam>
[CITA-AJENA] pecho | a tight ache in the chest (apretar el pecho) | Alguien suma un legüero, y el golpe hondo se mete en el pecho de todos. | <friends,friends-argentina,friends-colombia,traveler-latam>
[CITA-AJENA] pegada | blasting music (champeta pegada) | Pegada al vidrio de la chocolatería más famosa del centro, Juli buscaba el ángulo justo  | <friends-argentina,friends-colombia,friends-mexico>
[CITA-AJENA] pensaba | was not going to (no lo pensaba) | Entre los tres armaron alfajores hasta la madrugada, tapa contra tapa, rellenos de ese d | <friends-argentina,friends-colombia,friends-mexico>
[CITA-AJENA] plena | right in the middle of (en plena mesa) | Juli se queda ahí en plena trasnochada, desvelada y feliz, con la sensación de que en el | <friends-argentina,friends-colombia,friends-mexico,traveler-latam>
[CITA-AJENA] prendió | the lightbulb went on (prenderse el foco) | Los salteños, que la miraban como bicho raro, quedaron mudos cuando el auto prendió al t | <friends,friends-argentina,friends-colombia,friends-mexico>
[CITA-AJENA] puesto | got his act together (puesto las pilas) | Cuenta que una amiga le consiguió un puesto fijo en Buenos Aires. | <friends-argentina,friends-colombia,friends-mexico,traveler-mexico-a0>
[CITA-AJENA] quieta | to leave alone (dejar quieta) | (NO APARECE) | <friends,friends-argentina,friends-colombia,friends-mexico,traveler-latam,traveler-mexico-a0>
[CITA-AJENA] ritmo | to find the groove (agarrar el ritmo) | “Tranca, boluda, Bruno sabe lo que hace”, le dijo bajito, “vos hacele caso y seguile el  | <friends,friends-argentina,friends-colombia,friends-mexico,traveler-latam>
[CITA-AJENA] rojas | red flags (banderas rojas) | En el patio, Ariel atiza el fogón hasta que las brasas laten rojas bajo el algarrobo. | <friends-argentina,friends-colombia,friends-spain-a0,traveler-latam>
[CITA-AJENA] sacando | pulling it off (sacar adelante) | Para ella, Bariloche era eso: chocolate caro, luces, cartel en inglés y colas de turista | <friends,friends-argentina>
[CITA-AJENA] sacarlo | to wind him up (sacar de casillas) | Bruno no lo dudó: pegó la vuelta y fue a sacarlo mar adentro. | <friends,friends-argentina>
[CITA-AJENA] sobra | plenty to spare (de sobra) | Al principio se ríe, pero la cargada no afloja y, dolida, siente que sobra. | <friends-argentina>
[CITA-AJENA] tomó | drank down (se tomó) | Juli tomó despacio, sin apurar la mano. | <friends-argentina,friends-mexico>
[CITA-AJENA] alcanzaba | was not enough (no le alcanzaba) | Manu apenas alcanzaba a ver el atardecer sobre las piedras. | <friends-colombia>
[CITA-AJENA] amarrado | not even by force (ni amarrado) | En la Mesa de los Santos, a media hora de Bucaramanga, Nubia ya se había amarrado el equ | <friends-colombia>
[CITA-AJENA] bajar | to admit defeat (bajar la cabeza) | Ella suelta su pregón igual, sin bajar la sonrisa ni el brazo. | <friends-colombia,friends-mexico,traveler-mexico-a0>
[CITA-AJENA] buenas | in a good mood (de buenas) | Desde el primer minuto, ella aplaudía cuando no era y se quedaba muda en las jugadas bue | <friends-colombia,friends-spain-a0>
[CITA-AJENA] deje | do not leave me (no me deje) | “¡Epa, prima, deje ese teléfono y agárrese un tinto!”, le gritó Wílmer desde el corral,  | <friends-colombia>
[CITA-AJENA] doblaron | to crack up (doblarse de risa) | Doblaron por una calle lateral y el paisaje cambió por completo. | <friends,friends-colombia>
[CITA-AJENA] forma | properly, in style (en forma) | Manuela abrazó a los dos y entendió que esa franqueza sin rodeos era, a su manera, la fo | <friends-colombia,traveler-latam,traveler-mexico-a0>
[CITA-AJENA] gratis | free (no cost) | “El descaro es gratis”, dice ella y guarda la moneda en el delantal. | <friends-colombia,friends-spain-a0>
[CITA-AJENA] hilo | on tenterhooks (con el alma en un hilo) | Yésica siguió el hilo de esos ojos y masculló entre dientes que esa era la que le había  | <friends-colombia>
[CITA-AJENA] lengua | a loose tongue (lengua floja) | A su lado, Nubia, la comadre que no se muerde la lengua, ya tenía servido su plato. | <friends-colombia,friends-mexico>
[CITA-AJENA] moneda | paying back in kind (con la misma moneda) | “El descaro es gratis”, dice ella y guarda la moneda en el delantal. | <friends-colombia>
[CITA-AJENA] montó | teased (montó chercha) | Alguien montó el picó en el patio y sonó, bajito, la champeta de toda la vida. | <friends,friends-colombia>
[CITA-AJENA] muchacho | young man, boy | Sonó la campana y el muchacho se lanzó al galope, pegado al costado del toro, sin pensar | <friends-colombia>
[CITA-AJENA] muertos | dead; freezing (muertos de frío) | Era un contrapunteo antiguo, donde el cantante improvisaba versos sobre el llano y sus m | <friends-colombia,friends-mexico>
