tipo	historia	titulo	antes	despues
texto	t1#0	Une boule sous le platane	Ils jouent à la pétanque le dimanche.	Ils jouent à la pétanque chaque dimanche.
texto	t1#0	Une boule sous le platane	“Très près. C'est bien”, dit Hugo.	“Très près. Génial!”, dit Hugo.
texto	t1#0	Une boule sous le platane	Hugo lance le cochonnet.	Hugo lance le cochonnet, vite.
texto	t1#1	Deux carreaux pour Hugo	“C'est facile. Regarde, comme ça.”	“C'est facile. Tu tiens la boule comme ça.”
texto	t1#1	Deux carreaux pour Hugo	“D'accord, je paie.	“Pas grave, je paie.
texto	t1#1	Deux carreaux pour Hugo	Mais elle prend une boule et tire.	Mais elle prend une boule. Elle veut essayer.
texto	t1#1	Deux carreaux pour Hugo	Il tire encore: carreau.	Encore: carreau.
texto	t1#2	Si je gagne, tu restes	“D'accord”, dit Hugo.	“Avec plaisir”, dit Hugo.
texto	t1#2	Si je gagne, tu restes	“Non. Je range”	“Non. Je balaie”
texto	t2#0	Théo écoute pour Léa	“Ce n'est pas facile ici.	“C'est difficile ici.
texto	t2#1	La ligne coupe après Hugo	Léa ferme les yeux.	Léa ferme les yeux et retient ses larmes.
texto	t2#1	La ligne coupe après Hugo	“Paris, c'est bien.	“Paris, c'est génial.
texto	t2#2	Le torchon à la main	L'eau est chaude.	L'eau est tiède.
texto	t2#2	Le torchon à la main	“Bon. Bonne nuit, Léa.”	“Bon. Au revoir, Léa.”
texto	t2#2	Le torchon à la main	Il monte là-haut, chez lui.	Il monte là-haut, à la maison.
texto	t2#2	Le torchon à la main	“À toi, Hugo. Tu racontes?”, demande Léa.	“À toi, Hugo. Tu racontes?”, dit Léa.
texto	t2#2	Le torchon à la main	“Oui. J'écoute.”	“J'écoute.”
texto	t3#0	Le fauteuil descend	“Je peux aider”, dit Chloé.	“Je peux aider. Je suis libre”, dit Chloé.
texto	t3#0	Le fauteuil descend	Hugo part en mars.	Hugo déménage en mars.
texto	t3#0	Le fauteuil descend	Elles portent le fauteuil ensemble.	Elles portent le fauteuil lentement, ensemble.
texto	t3#0	Le fauteuil descend	Il donne le fauteuil à Léa.	Il veut offrir le fauteuil à Léa.
texto	t3#0	Le fauteuil descend	“Oui. Je ne suis jamais fatiguée”, répond Léa.	“Oui. Je ne suis jamais fatiguée”, rit Léa.
texto	t3#1	Mille euros sans compter	Puis il dit:	Ensuite, il dit:
texto	t3#2	Une goutte chaque nuit	“Mais je commence à comprendre.”	“Mais je commence à voir.”
texto	t3#2	Une goutte chaque nuit	“Attention! Il y a de l'eau partout!”, crie Léa.	“Attention! Il y a de l'eau partout!”, rit Léa.
texto	t4#1	Vingt minutes, c'est long	Le matin, le quai du métro est plein.	Le matin, le quai du métro est plein et étroit.
texto	t4#2	Les mots à l'envers	Il a raison.	Il a raison: c'est difficile.
texto	t4#2	Les mots à l'envers	Dehors, la lune est douce.	Léa rêve. Dehors, la lune est douce.
texto	t5#0	La boule porte-bonheur	Puis elle la donne.	Ensuite, elle la donne.
texto	t5#1	Trente-trois bougies	Léa applaudit très fort	Léa applaudit vraiment fort
texto	t5#2	À toi la boule	Enfin, Hugo ouvre le paquet.	Enfin, Hugo ouvre le paquet, surpris.
texto	t5#2	À toi la boule	Un chat dort sur le banc.	Un gros chat dort sur le banc, sous les feuilles.
texto	t5#2	À toi la boule	Puis il rentre chez lui.	À la fin, il rentre chez lui.
texto	t6#0	L'annonce du couloir	Léa n'aime pas ça, mais elle ne dit rien.	Léa n'aime pas ça. Elle sait, mais elle ne dit rien.
texto	t6#0	L'annonce du couloir	L'annonce est sur la boîte aux lettres.	Léa lit l'annonce sur la boîte aux lettres.
texto	t6#0	L'annonce du couloir	Léa touche la poignée	Léa touche doucement la poignée
texto	t6#0	L'annonce du couloir	cent euros de plus”, explique Antoine.	cent euros de plus. C'est cher”, explique Antoine.
texto	t6#1	Une plante pour Léa	“Pourquoi moi?”, demande Léa.	“Pourquoi moi? Je suis occupée!”, demande Léa.
