palabra	fuente	glosa	tipo	historia	frase	frases (max 6)
achète	nueva	buy, buys (acheter)	verb	vingt-minutes-c-est-long	J'achète un vélo neuf.	2
ah	nueva	ah!, oh!	interjection	tu-prends-la-carte	“Ah!	1
aider	nueva	to help (aider)	verb	la-boule-porte-bonheur	Elle vient pour aider.	2
ailleurs	nueva	somewhere else (ailleurs)	adverb	des-pas-au-dessus	Les pas vont ici, puis ailleurs.	1
aime	nueva	like, love (aimer)	verb	la-boule-porte-bonheur	Je l'aime, mais c'est pour Hugo.”	5
allô	nueva	hello?, on the phone (allô)	interjection	la-ligne-coupe-apres-hugo	“Allô, Léa?”, répond Hugo.	2
amer	nueva	bitter (amer)	adjective	tu-prends-la-carte	Il met du sucre, parce que c'est amer.	1
ami	nueva	friend (l'ami)	noun	tu-prends-la-carte	Maxime est un ami de Hugo.	3
amis	nueva	friends (l'ami)	noun	les-mots-a-l-envers	Elle écrit encore, toute seule: amis pour toujours.	2
ampoule	nueva	light bulb (l'ampoule)	noun	une-plante-pour-lea	Au plafond, Hugo allume une vieille ampoule.	1
anniversaire	nueva	birthday (l'anniversaire)	noun	trente-trois-bougies	Pour l'anniversaire de Hugo, Léa invite les amis.	2
annonce	nueva	notice, advert (l'annonce)	noun	l-annonce-du-couloir	L'annonce du couloir	4
apprendre	nueva	to learn (apprendre)	verb	clara-tient-la-boule	“Tu veux apprendre?”, demande Léa.	2
après-midi	nueva	afternoon (l'après-midi)	noun	une-goutte-chaque-nuit	Cet après-midi, Hugo arrive avec une boîte à outils.	2
ardoise	nueva	chalkboard, slate (l'ardoise)	noun	tu-prends-la-carte	Sur l'ardoise, elle écrit: “Carte bleue: non.”	1
argent	nueva	money (l'argent)	noun	la-boule-porte-bonheur	Son argent est à Paris, avec Hugo.	6
arrose	nueva	water, waters (arroser)	verb	a-samedi-hugo	“Tous les matins, je l'arrose.”	2
arroses	nueva	you water (arroser)	verb	a-samedi-hugo	“Tu arroses la plante?”	2
arrosoir	nueva	watering can (l'arrosoir)	noun	une-plante-pour-lea	Mais elle prend l'arrosoir.	1
attention	nueva	careful!, watch out! (attention)	interjection	une-goutte-chaque-nuit	“Attention!	4
au	nueva	at the, to the (à + le)	preposition	le-torchon-a-la-main	Au revoir, Léa.”	6
au-dessus	nueva	above; upstairs (au-dessus)	adverb	si-je-gagne-tu-restes	Le ciel est rouge au-dessus du Panier.	4
aux	nueva	to the, at the (à + les)	preposition	l-annonce-du-couloir	Léa lit l'annonce sur la boîte aux lettres.	1
baisses	nueva	you lower (baisser)	verb	clara-tient-la-boule	Tu baisses le coude”, explique Léa.	1
balai	nueva	broom (le balai)	noun	a-toi-la-boule	Il prend un balai.	1
balaie	nueva	sweep, sweeps (balayer)	verb	a-toi-la-boule	Léa balaie les miettes.	2
banc	nueva	bench (le banc)	noun	trente-trois-bougies	Léa applaudit vraiment fort, et regarde le banc.	5
bas	nueva	down, below; downstairs (en bas)	adverb	le-torchon-a-la-main	Le métro est en bas”, explique Hugo.	5
bateau	nueva	boat (le bateau)	noun	vingt-minutes-c-est-long	Dehors, on entend le bateau du port.	1
besoin	nueva	need; to need (avoir besoin de)	noun	une-goutte-chaque-nuit	Maintenant, tu n'as plus besoin de moi.”	3
bientôt	nueva	soon (bientôt)	adverb	a-toi-la-boule	Bientôt.	2
bienvenue	nueva	welcome! (bienvenue)	interjection	a-samedi-hugo	Bienvenue!”, dit Hugo à Clara.	1
bise	nueva	kiss on the cheek (faire la bise)	noun	treize-comme-avant	Il lui fait la bise, sur la joue.	1
blanc	nueva	white (blanc)	adjective	une-plante-pour-lea	Hugo peint le dernier mur en blanc.	1
bonjour	nueva	hello (bonjour)	interjection	la-ligne-coupe-apres-hugo	Juste bonjour”, répond Léa.	1
bonne	nueva	good (bon)	adjective	clara-tient-la-boule	Clara est une bonne élève.	1
bouche	nueva	mouth (la bouche)	noun	tu-prends-la-carte	Léa rit avec la serviette sur la bouche.	1
bouchons	nueva	corks, bottle tops (le bouchon)	noun	a-toi-la-boule	Elle ramasse les bouchons et un lampion rouge.	1
bougies	nueva	candles (la bougie)	noun	trente-trois-bougies	Trente-trois bougies	3
boule	nueva	boule, the metal ball of pétanque (la boule)	noun	la-boule-porte-bonheur	La boule porte-bonheur	6
boules	nueva	boules, the metal balls of pétanque (la boule)	noun	si-je-gagne-tu-restes	Léa sort les boules de son sac.	4
bras	nueva	arms (le bras)	noun	treize-comme-avant	Léa lève les bras.	1
bruns	nueva	brown, dark (brun)	adjective	des-pas-au-dessus	Elle a un manteau jaune et les cheveux bruns.	1
bus	nueva	bus (le bus)	noun	vingt-minutes-c-est-long	L'arrêt du bus est en bas.	1
cache	nueva	hides (cacher)	verb	la-boule-porte-bonheur	Léa cache le paquet sous le comptoir.	1
cadeau	nueva	present, gift (le cadeau)	noun	la-boule-porte-bonheur	Léa veut offrir un cadeau.	2
